00001740-a	yue:lemma	有能力嘅		
00001740-a	yue:lemma	能幹		
00001740-a	yue:lemma	能幹嘅		
00001740-a	yue:lemma	得力		
00001740-a	yue:lemma	得力嘅		
00001740-n	yue:lemma	物體		
00001740-n	yue:lemma	物件		
00001740-v	yue:lemma	唞氣		
00001740-v	yue:lemma	呼吸		
00001740-v	yue:lemma	吸氣		
00001930-n	yue:lemma	實體		
00002098-a	yue:lemma	不會		
00002098-a	yue:lemma	不能		
00002098-a	yue:lemma	無法		
00002684-n	yue:lemma	物品		
00002684-n	yue:lemma	物件		
00002684-n	yue:lemma	嘢		
00004032-v	yue:lemma	嘆氣		
00004032-v	yue:lemma	感歎		
00004032-v	yue:lemma	歎息		
00004032-v	yue:lemma	歎氣		
00004032-v	yue:lemma	嘆息		
00004258-n	yue:lemma	生物		
00004475-n	yue:lemma	生物		
00004967-r	yue:lemma	純屬		
00004967-r	yue:lemma	基本上		
00005815-v	yue:lemma	咳嗽		
00005815-v	yue:lemma	咳		
00006610-r	yue:lemma	有少少		
00006610-r	yue:lemma	略微		
00007012-v	yue:lemma	吹		
00007015-r	yue:lemma	附近		
00007015-r	yue:lemma	差唔多		
00007015-r	yue:lemma	接近		
00007015-r	yue:lemma	大概		
00007015-r	yue:lemma	將近		
00007015-r	yue:lemma	咁上下		
00007015-r	yue:lemma	臨近		
00007015-r	yue:lemma	噉樣		
00007015-r	yue:lemma	左右		
00007015-r	yue:lemma	前後		
00007015-r	yue:lemma	大致上		
00007347-n	yue:lemma	原因		
00007347-n	yue:lemma	由來		
00007347-n	yue:lemma	來由		
00007347-n	yue:lemma	動機		
00007347-n	yue:lemma	因由		
00007703-r	yue:lemma	局部		
00007703-r	yue:lemma	喺某程度上		
00007739-v	yue:lemma	眨眼		
00007739-v	yue:lemma	單起隻眼		
00007884-r	yue:lemma	一半		
00007884-r	yue:lemma	半數		
00008007-r	yue:lemma	完全		
00008007-r	yue:lemma	百分百		
00008299-v	yue:lemma	眨眼		
00008600-r	yue:lemma	單單		
00008600-r	yue:lemma	剩係		
00008997-r	yue:lemma	絕對		
00008997-r	yue:lemma	完全		
00008997-r	yue:lemma	徹底		
00009631-v	yue:lemma	痙攣		
00009631-v	yue:lemma	抽搐		
00009631-v	yue:lemma	肌肉抽搐		
00010435-v	yue:lemma	表現		
00010759-r	yue:lemma	淨係		
00010759-r	yue:lemma	單單		
00010759-r	yue:lemma	只不過		
00010759-r	yue:lemma	僅僅		
00010759-r	yue:lemma	只係		
00010759-r	yue:lemma	無非		
00010759-r	yue:lemma	剩係		
00011516-r	yue:lemma	好差		
00011757-a	yue:lemma	抽象嘅		
00011757-a	yue:lemma	抽象		
00013160-a	yue:lemma	具體		
00013160-a	yue:lemma	實在		
00013160-a	yue:lemma	具體嘅		
00013160-a	yue:lemma	實在嘅		
00014034-v	yue:lemma	震動		
00014034-v	yue:lemma	震		
00014034-v	yue:lemma	顫抖		
00014034-v	yue:lemma	搖		
00014285-r	yue:lemma	非常		
00014285-r	yue:lemma	相當		
00014549-v	yue:lemma	喐		
00014742-v	yue:lemma	瞓覺		
00014742-v	yue:lemma	瞓		
00014742-v	yue:lemma	覺覺		
00015135-r	yue:lemma	好		
00015135-r	yue:lemma	實在		
00015368-r	yue:lemma	心滿意足噉		
00015368-r	yue:lemma	滿意噉		
00015388-n	yue:lemma	畜牲		
00015388-n	yue:lemma	動物		
00015388-n	yue:lemma	生物		
00015388-n	yue:lemma	野獸		
00015388-n	yue:lemma	畜生		
00015498-v	yue:lemma	瞓晏覺		
